[FIXES]
AAMMM N036.10.25.899 W114.51.55.789
IMMAS N034.54.17.520 W104.18.53.220
IMOBE N035.11.34.040 W101.39.20.300
IMOJU N036.52.21.360 W119.25.14.560
IMOMY N040.15.54.140 W104.55.33.300
IMPAY N038.33.50.010 W100.53.10.560
IMPOR N048.37.41.070 W123.07.12.696
IMPTE N036.34.00.820 W120.26.36.690
IMRIY N039.02.17.710 W122.49.24.150
IMSAF N039.39.09.080 W107.04.54.110
IMSIJ N034.35.51.520 W117.40.56.390
IMUKE N048.32.41.620 W094.40.23.870
IMUNE N044.30.12.270 W105.22.54.350
IMUPE N047.32.15.440 W111.42.48.440
IMUYE N042.32.15.820 W098.46.05.860
IMUYU N040.53.35.250 W098.12.49.330
IMVUW N044.53.21.630 W117.52.18.480
IMWEX N036.57.08.050 W099.37.07.430
IMYIB N039.52.56.350 W122.18.26.170
IMYIF N039.03.13.920 W099.13.27.840
IMYOG N036.44.23.450 W119.27.50.740
IMZIB N038.31.43.210 W122.28.35.810
INACE N036.58.37.020 W097.44.54.080
INADE N040.37.05.960 W100.26.20.280
INAQU N043.23.57.790 W112.03.23.920
INARM N040.03.08.890 W100.32.16.210
INATE N048.22.05.630 W107.44.01.980
INAVE N045.52.51.050 W108.27.17.480
INAXE N048.17.13.080 W122.53.23.180
INBUR N036.26.32.520 W119.37.31.370
INDIC N037.55.36.780 W097.06.37.230
INDOW N037.27.03.250 W100.22.10.570
INDUW N037.52.21.510 W122.23.35.600
INEDE N040.31.46.160 W107.21.43.060
INEGE N035.36.26.560 W101.24.04.730
INERE N036.36.13.970 W097.44.58.740
INEWU N041.22.09.090 W097.16.54.310
INFER N032.45.01.310 W106.13.40.980
INGIU N041.07.54.950 W103.23.52.070
INGLS N045.02.13.830 W093.16.45.760
INGOL N039.40.29.070 W115.04.45.930
INGRR N039.21.36.600 W106.20.37.250
INGYS N044.58.38.580 W109.02.34.920
INHAM N049.03.07.779 W125.27.18.255
INIBE N034.18.37.890 W098.26.29.480
INICU N036.34.28.100 W121.45.23.460
INIHI N040.54.35.050 W095.28.14.530
INION N043.37.17.190 W116.20.03.180
INISH N033.45.14.080 W118.32.28.760
INITY N042.08.42.800 W122.32.44.250
INJUX N044.17.39.930 W106.39.07.610
INKER N047.53.42.510 W093.01.44.030
INKLE N031.36.48.800 W110.59.38.260
INLAY N041.47.01.200 W112.00.53.780
INMOM N038.32.07.890 W097.40.01.010
INMUG N044.44.13.590 W093.04.38.230
INNAA N045.36.19.140 W092.54.25.830
INNEE N039.22.30.370 W094.42.18.450
INNKA N035.58.53.330 W102.17.26.950
INNOP N044.42.39.810 W123.15.19.710
INOBE N048.04.54.580 W116.45.47.030
INOCI N036.21.33.580 W119.26.36.820
INONY N045.44.19.060 W094.22.58.360
INRAM N038.38.55.910 W094.19.29.490
INSAJ N045.31.50.250 W123.53.13.510
INSLO N038.40.44.900 W117.17.53.200
INTLL N045.27.44.730 W122.52.05.160
INTRC N039.18.57.600 W107.03.15.000
INUDE N046.05.34.320 W119.22.24.610
INUMY N041.19.39.080 W099.33.13.770
INUNE N045.01.00.390 W093.59.32.370
INUXY N041.36.43.730 W109.12.47.240
INVUW N047.38.08.540 W117.18.36.930
INXAL N046.33.56.460 W095.17.11.950
INYOE N037.53.44.240 W118.45.53.970
IOLLA N036.33.29.910 W097.20.56.180
IONNS N044.22.46.260 W100.23.39.680
IOWAA N041.38.46.330 W093.27.10.000
IPAGY N042.07.34.730 W122.36.10.020
IPAKE N042.11.07.890 W094.58.55.650
IPALE N039.54.23.590 W105.19.49.530
IPALY N040.55.58.150 W095.51.06.920
IPANE N047.36.10.710 W117.54.40.360
IPARY N038.12.23.320 W122.30.50.790
IPATE N032.26.50.600 W107.06.17.500
IPAVE N038.48.23.170 W094.11.22.920
IPDEW N037.49.52.460 W121.08.04.080
IPEMY N047.26.30.050 W094.49.46.910
IPENE N038.31.58.480 W121.49.46.650
IPEYE N042.44.13.320 W106.40.43.900
IPHIB N033.00.07.640 W109.48.36.750
IPHIW N034.00.33.600 W116.27.26.400
IPIHO N034.13.24.000 W118.34.26.400
IPIKE N036.17.40.470 W097.51.51.290
IPIME N035.53.16.290 W101.12.09.920
IPIVY N040.24.06.310 W097.40.46.060
IPNUC N033.03.58.890 W104.31.16.190
IPORE N041.27.20.870 W095.45.02.780
IPOTE N041.51.18.530 W103.41.14.770
IPOVY N043.17.33.730 W124.17.27.780
IPOWU N047.48.43.110 W099.59.06.810
IPPOD N037.24.30.650 W113.14.36.330
IPPUG N046.41.36.570 W114.02.23.450
IPREZ N047.45.04.400 W099.49.43.940
IPROF N047.15.41.690 W119.12.02.900
IPUJE N036.39.55.400 W119.31.36.360
IPUMY N036.01.51.820 W115.22.31.180
IPUPE N046.09.02.790 W123.45.18.740
IPVAL N048.42.13.410 W117.33.43.030
IPXUJ N033.41.10.760 W112.00.27.310
IPYAD N037.35.43.320 W112.17.38.410
IPZEH N036.13.52.820 W119.22.54.570
IQFEF N042.23.34.850 W094.23.11.530
IQGOJ N048.13.36.270 W114.07.39.090
IQHEJ N042.18.56.530 W122.38.59.000
IQIHY N036.44.04.570 W101.30.04.210
IQITO N047.44.11.800 W117.22.14.270
IQIYO N046.29.53.480 W120.33.36.960
IQUQA N039.13.15.600 W101.30.11.610
IQYEL N042.33.52.260 W092.39.33.170
IRACE N038.39.15.050 W097.28.20.540
IRATE N039.49.07.420 W097.45.46.150
IRAVE N037.36.34.950 W116.38.53.410
IRBBY N040.20.36.750 W122.20.24.910
IRDUQ N035.06.35.070 W114.07.13.830
IRECU N034.38.44.840 W109.42.31.000
IREEN N036.13.25.770 W115.02.39.270
IREGY N041.04.38.700 W097.45.21.100
IREME N042.41.29.440 W113.36.52.230
IREVE N035.16.57.860 W103.15.12.390
IREYA N043.07.08.540 W095.01.25.210
IRFOR N039.59.36.800 W093.35.20.860
IRICO N035.51.00.470 W096.46.05.770
IRICU N041.42.28.470 W111.51.13.850
IRIIS N040.02.44.170 W104.35.17.480
IRILE N047.01.15.280 W096.27.39.570
IRIME N036.49.40.470 W100.51.07.560
IRINE N039.56.59.890 W104.38.24.950
IRISH N036.02.16.440 W114.46.14.060
IRISS N037.03.20.610 W107.50.42.140
IRIWY N046.03.11.720 W099.25.52.630
IRIYA N046.10.54.280 W094.01.47.990
IRLUC N047.28.30.260 W117.37.47.980
IRNMN N034.15.20.560 W118.53.38.570
IRODY N034.54.39.400 W112.28.01.510
IRONN N033.56.43.160 W116.57.47.100
IROSE N048.29.49.560 W100.13.33.730
IROVE N042.54.04.490 W102.18.09.810
IROYO N039.20.30.650 W107.59.22.250
IRPOH N038.42.27.010 W119.45.06.800
IRQEV N037.01.01.500 W113.31.13.840
IRREB N048.45.53.640 W094.41.07.240
IRRON N041.08.38.970 W112.00.58.750
IRRRV N044.53.30.840 W092.56.50.320
IRSEH N046.14.48.080 W100.22.31.540
IRUHO N047.30.51.660 W117.41.37.200
IRULY N034.39.40.200 W107.43.02.400
IRUSE N043.27.41.310 W115.55.12.150
IRUYI N033.58.30.690 W117.42.39.210
IRUYU N040.44.31.280 W111.58.09.640
IRWAV N045.04.39.790 W113.58.02.070
IRZAT N038.36.37.100 W104.42.58.070
ISADY N035.57.08.260 W119.00.10.220
ISAKE N035.27.18.890 W097.29.12.540
ISARE N035.16.52.930 W118.52.33.630
ISAVE N041.53.47.480 W122.25.30.490
ISAXE N048.29.07.960 W101.29.00.290
ISAYA N032.37.50.510 W114.38.10.070
ISCIV N046.37.56.030 W120.37.40.890
ISEBE N043.35.25.500 W116.18.08.800
ISEKE N046.15.00.590 W117.00.02.660
ISEMN N032.36.53.700 W116.48.18.950
ISEPE N043.07.57.130 W094.44.40.480
ISESY N037.00.00.080 W119.51.31.750
ISEVE N039.20.40.880 W097.09.30.540
ISGOF N036.36.49.800 W119.21.23.400
ISIFU N036.43.02.890 W121.56.56.950
ISISE N045.32.20.320 W098.25.38.880
ISITE N048.29.42.170 W109.16.23.820
ISJOJ N037.47.33.100 W101.41.10.720
ISLER N043.38.52.390 W095.12.57.340
ISLND N048.25.02.290 W122.41.20.500
ISMAY N046.10.33.000 W106.27.51.000
ISNEJ N042.31.26.690 W123.24.10.790
ISOBE N035.17.02.900 W098.06.21.740
ISOBY N031.58.14.990 W102.28.53.280
ISOCO N033.26.27.260 W112.07.35.210
ISOGE N047.38.44.050 W122.24.01.340
ISOKE N032.49.52.350 W116.59.27.320
ISOYA N042.43.14.490 W106.42.00.270
ISRIY N045.53.32.080 W122.53.47.990
ISROQ N048.19.31.920 W102.07.13.110
ISSEP N036.34.50.550 W104.38.25.500
ISSOY N038.11.48.550 W101.42.19.400
ISTOW N033.21.41.350 W111.52.25.530
ISUWU N048.41.45.910 W122.37.42.690
ISYOH N038.21.59.640 W121.44.12.970
ITAHL N036.08.15.000 W114.59.58.820
ITANE N040.10.35.170 W108.01.32.320
ITAVE N037.41.47.280 W116.42.39.660
ITBEW N041.02.47.830 W097.31.50.690
ITBOW N035.50.14.570 W104.59.07.030
ITCHY N034.54.30.070 W099.20.20.890
ITEBE N048.21.58.810 W107.59.36.890
ITEDE N041.00.01.580 W099.50.49.730
ITEGY N036.49.52.220 W113.41.48.840
ITEMM N032.35.11.330 W110.35.23.170
ITESE N036.41.29.680 W100.40.04.240
ITEVE N047.02.12.690 W109.10.20.790
ITEXE N036.52.38.180 W095.49.03.600
ITEYA N041.12.26.650 W100.03.01.110
ITFEL N035.48.45.710 W115.08.11.560
ITGAR N048.55.00.930 W117.36.05.550
ITGIJ N037.49.33.600 W119.22.05.400
ITGIL N048.56.03.400 W122.25.40.720
ITHIM N033.39.42.010 W101.55.43.590
ITIKY N040.25.34.160 W104.37.28.750
ITIPE N047.59.36.740 W122.17.14.810
ITIXE N044.25.59.410 W099.17.58.930
ITKUF N040.57.57.000 W093.41.37.900
ITMOR N040.35.52.350 W122.03.39.290
ITMUW N046.20.57.710 W096.15.16.820
ITODE N047.37.28.970 W117.37.04.000
ITOGE N037.46.33.470 W116.46.07.510
ITONE N047.58.21.380 W114.06.07.820
ITOPY N037.38.01.710 W118.53.00.290
ITOVE N034.33.38.780 W098.24.08.740
ITROY N035.32.13.810 W097.35.20.610
ITSEJ N043.36.11.580 W113.20.02.710
ITSME N034.04.30.080 W118.00.17.310
ITUCO N032.26.30.000 W109.46.26.000
ITUDE N034.49.17.000 W098.13.49.000
ITUNE N035.17.18.200 W107.06.01.530
ITVIW N047.04.00.730 W119.20.18.190
ITVOY N045.26.10.300 W095.13.33.560
ITXOJ N047.03.43.420 W119.20.11.010
IVABE N037.41.28.150 W121.19.06.770
IVAKE N044.32.58.650 W111.12.48.190
IVAYU N042.22.21.700 W111.10.05.560
IVAZU N046.47.57.160 W116.46.17.420
IVBAF N035.40.38.500 W096.48.49.440
IVECI N039.06.40.050 W119.45.47.110
IVECU N035.39.55.100 W119.03.54.410
IVEHO N040.43.12.360 W097.50.07.680
IVEJE N046.45.18.680 W096.25.02.260
IVELE N036.43.38.540 W108.20.33.900
IVEYI N035.29.35.250 W097.36.20.870
IVINS N034.22.19.840 W118.54.23.150
IVIPY N037.28.33.600 W120.26.23.400
IVIVE N048.24.37.570 W108.24.22.590
IVKEF N039.29.46.090 W106.50.58.160
IVLEC N035.34.02.290 W112.11.14.540
IVOCU N040.19.45.890 W097.42.13.250
IVOCY N041.02.47.040 W111.57.43.660
IVOYE N038.18.47.670 W108.39.08.040
IVTAW N040.30.24.850 W111.25.21.970
IVUJO N041.17.26.640 W094.41.26.770
IVULE N043.30.04.510 W098.04.27.030
IVUNE N035.50.45.660 W120.35.49.750
IVUPE N039.15.00.170 W123.08.40.930
IVUVE N047.57.32.390 W100.07.02.290
IVUVY N036.31.33.530 W121.29.55.770
IVVIB N044.21.39.450 W121.13.09.190
IVVRY N033.07.34.760 W111.26.35.630
IVYIX N036.56.49.370 W097.02.09.820
IVZOT N038.46.17.720 W099.31.41.800
IWACK N048.55.55.710 W120.50.13.430
IWANY N048.27.18.190 W122.26.01.020
IWATI N037.00.12.500 W095.34.26.460
IWECY N040.01.11.300 W106.26.40.880
IWEDU N034.12.30.770 W109.15.07.890
IWEGN N041.25.06.430 W095.54.18.350
IWELA N041.46.38.570 W093.29.50.720
IWIQA N042.11.54.770 W093.39.18.820
IWKID N046.59.30.750 W119.12.58.850
IWMIB N034.34.36.000 W118.52.19.200
IWMOJ N047.16.46.570 W119.16.48.240
IWMUD N033.38.14.650 W118.04.31.540
IWUGO N039.02.13.690 W108.43.35.210
IXACE N039.23.46.610 W121.42.02.990
IXAKE N032.12.49.000 W109.55.56.260
IXDEB N036.37.55.730 W119.34.22.190
IXEKE N037.03.32.210 W113.29.53.500
IXEQU N042.00.49.220 W122.53.05.310
IXEXE N048.21.48.460 W108.17.18.530
IXIGE N034.43.08.600 W117.50.26.270
IXIPE N048.30.07.430 W111.59.53.250
IXISE N040.49.46.490 W097.06.16.120
IXJUP N046.28.33.080 W120.28.41.410
IXRUG N047.07.10.780 W095.53.11.770
IXUHU N032.39.48.870 W109.23.43.750
IXULE N039.19.17.040 W107.46.16.590
IXUVE N042.19.08.930 W114.32.57.620
IXUXY N036.50.05.440 W113.38.19.540
IXZUF N039.37.04.170 W107.24.56.620
IYABU N039.15.31.580 W123.16.22.770
IYACA N045.40.29.720 W094.54.33.360
IYATA N037.47.50.960 W102.37.19.770
IYAYU N040.47.26.890 W101.39.47.320
IYBUC N044.04.41.050 W101.39.11.020
IYEBU N046.37.43.830 W120.35.49.100
IYEGU N048.33.40.300 W094.40.04.720
IYETA N041.12.17.900 W095.10.27.850
IYINU N046.32.19.500 W112.27.35.520
IYIRI N033.43.23.160 W116.17.26.930
IYISA N046.39.13.130 W097.05.01.930
IYITI N035.59.50.810 W096.46.10.780
IYIVA N044.31.17.920 W121.28.28.130
IYJER N045.06.12.430 W096.23.49.510
IYLAG N036.59.35.040 W113.35.35.850
IYLUG N044.57.19.970 W097.47.51.810
IYOBE N034.17.23.660 W119.45.28.260
IYOCO N039.01.00.690 W094.19.03.300
IYOCU N035.23.29.200 W097.38.57.100
IYODO N044.07.30.590 W103.04.43.290
IYOGY N037.06.31.250 W111.29.16.370
IYOVY N047.41.45.440 W117.24.09.540
IYPUN N039.42.40.960 W119.52.36.160
IYQAV N046.27.34.980 W111.41.40.320
IYTAM N046.24.34.000 W117.04.06.790
IYTEY N035.22.05.590 W100.11.57.690
IYTIK N038.53.41.500 W096.48.26.790
IYURA N039.55.00.500 W098.40.40.390
IYWUH N047.10.17.550 W119.31.02.370
IYXUN N040.37.26.470 W096.45.47.530
IZAGI N037.54.32.080 W098.02.09.700
IZANI N040.23.51.070 W095.50.27.810
IZAWE N044.04.37.310 W095.46.57.400
IZCED N046.08.04.910 W119.05.09.880
IZCIW N042.27.14.010 W122.58.47.810
IZELY N047.41.16.590 W117.18.49.980
IZFEV N046.21.28.730 W119.09.34.390
IZKOP N044.56.21.200 W094.26.26.660
IZMIR N031.32.42.630 W109.25.35.100
IZOMA N048.22.03.100 W107.50.28.040
IZOMO N037.16.51.250 W113.20.12.300
IZOSI N031.33.16.240 W109.46.19.270
IZOSY N047.05.48.240 W119.10.42.680
IZPUH N040.32.44.070 W124.07.06.160
IZROM N047.29.17.840 W120.26.50.260
IZSAH N034.54.55.970 W110.53.35.790
IZTIR N033.44.15.160 W111.07.40.620
IZUFE N045.41.25.470 W108.29.59.170
IZUKO N038.10.57.470 W101.36.04.420
IZUTU N032.18.41.520 W111.21.27.670
IZUWI N040.57.52.840 W101.45.08.290
IZUXI N039.26.33.810 W107.24.37.600
IZXOG N041.06.15.540 W101.25.01.850
IZZOM N034.27.01.970 W109.02.52.770
IZZYY N033.05.44.500 W106.15.46.840
IZZZO N033.27.09.930 W112.48.00.150
JAAAM N039.44.54.150 W104.31.26.560
JAABB N033.42.07.690 W117.42.45.980
JAAEF N039.41.27.930 W104.43.15.120
JAAKE N037.29.37.090 W118.30.48.460
JAAKI N033.55.11.450 W118.33.11.020
JAAKS N033.15.28.930 W105.42.47.040
JAASK N034.17.09.670 W118.27.21.090
JABAL N033.09.16.610 W117.06.58.090
JABAN N039.34.14.940 W107.02.05.170
JABED N040.01.43.120 W104.37.54.090
JABGU N040.11.35.250 W122.15.53.860
JABIM N037.58.15.180 W118.36.07.900
JABIX N040.28.06.080 W107.05.49.960
JABMO N041.15.06.660 W096.07.29.800
JABNA N036.06.13.960 W115.09.01.870
JABNU N040.12.34.080 W102.26.52.490
JABON N038.07.06.420 W122.07.47.930
JABOP N040.07.48.130 W093.35.29.120
JABOT N044.19.11.520 W121.02.28.440
JABRO N040.01.37.130 W104.45.14.790
JABUB N034.02.13.100 W118.15.43.710
JABVA N035.40.06.330 W098.14.31.220
JABVU N046.48.35.190 W100.47.46.170
JACEY N039.13.44.230 W094.51.37.930
JACII N038.44.19.400 W120.37.26.940
JACKD N040.53.18.360 W115.29.00.360
JACKK N032.44.07.000 W116.30.03.000
JACKO N044.49.24.960 W093.03.40.220
JACKS N042.11.55.870 W114.35.38.230
JACOX N036.15.53.300 W098.49.12.780
JADAN N046.41.53.120 W100.38.52.200
JADAP N035.16.36.670 W101.21.53.890
JADDE N040.30.53.000 W115.52.08.000
JADEK N040.15.19.870 W103.44.55.300
JADGU N037.36.19.860 W105.44.06.750
JADIB N040.44.11.020 W096.04.59.380
JADIL N035.11.40.710 W103.13.58.160
JADIP N044.25.01.240 W095.47.36.900
JADKI N035.18.33.460 W101.57.07.670
JADNU N045.36.54.640 W122.40.22.690
JADOB N041.36.35.830 W102.31.51.750
JADPU N038.04.05.880 W116.55.23.190
JADUN N042.14.57.490 W122.46.53.180
JADUP N042.44.32.000 W113.42.15.220
JADUR N041.17.23.700 W110.59.16.420
JADUV N034.35.25.620 W114.22.19.060
JAEDN N044.47.20.150 W093.43.35.400
JAFBY N033.47.49.360 W111.53.12.150
JAFFU N036.49.52.330 W113.35.35.160
JAFYU N044.31.55.330 W098.26.45.430
JAGAB N046.16.21.120 W114.06.45.220
JAGAK N040.11.44.200 W109.51.16.550
JAGAL N033.26.25.740 W111.48.46.390
JAGBI N047.51.05.490 W097.10.52.610
JAGBU N042.42.38.700 W096.12.23.280
JAGEG N035.36.19.010 W117.51.53.390
JAGEK N043.26.30.950 W096.47.54.040
JAGEL N048.03.20.040 W114.05.28.740
JAGEN N042.23.10.380 W122.52.45.050
JAGGR N038.58.29.820 W103.02.24.740
JAGGS N036.21.03.350 W097.25.23.710
JAGIL N043.21.15.590 W110.43.54.070
JAGLO N033.30.43.850 W117.57.20.940
JAGMO N044.15.34.670 W121.07.47.500
JAGOM N040.25.13.370 W119.53.15.000
JAGOW N043.30.53.260 W093.17.24.760
JAGSA N032.02.19.090 W108.06.13.190
JAGSI N034.31.47.950 W117.23.18.860
JAGSO N044.07.29.240 W100.02.31.560
JAGUG N034.42.46.670 W099.16.25.770
JAGUK N037.04.17.110 W113.13.58.400
JAGUS N041.50.53.130 W103.41.33.540
JAGWA N037.19.49.000 W120.38.18.000
JAILR N045.47.34.150 W107.01.02.460
JAIME N044.25.07.170 W122.36.28.010
JAIMS N032.45.35.620 W103.07.48.870
JAJAY N040.44.03.260 W116.49.32.800
JAJEE N034.53.00.510 W116.14.18.940
JAKAR N034.36.14.540 W111.49.32.930
JAKBA N047.25.13.420 W114.06.03.450
JAKCI N034.11.57.110 W117.21.44.160
JAKDI N043.01.03.500 W097.08.45.090
JAKEB N033.07.19.730 W116.08.23.820
JAKER N036.00.53.200 W115.12.17.950
JAKET N047.41.20.670 W095.48.19.060
JAKKI N041.18.49.870 W096.00.08.790
JAKKO N035.19.39.340 W101.43.52.650
JAKKY N032.53.16.260 W105.00.13.220
JAKLO N035.26.25.300 W113.43.01.040
JAKLU N046.51.01.010 W116.40.13.220
JAKOK N040.38.24.710 W095.21.50.270
JAKOP N036.09.50.960 W115.06.02.990
JAKOS N033.56.18.660 W118.30.54.700
JAKPU N036.14.39.750 W115.14.12.560
JAKSN N047.53.11.210 W121.42.13.380
JAKTI N048.46.35.780 W098.47.16.510
JAKUR N039.37.44.790 W104.39.46.560
JALAB N044.35.42.690 W100.21.15.290
JALAG N045.37.13.310 W122.39.40.670
JALAP N040.50.18.000 W093.33.48.000
JALBU N044.08.22.100 W122.59.54.780
JALEB N032.08.00.420 W104.26.10.800
JALEL N045.36.40.310 W121.09.56.040
JALET N045.49.33.560 W096.33.41.730
JALIG N036.12.46.780 W121.07.22.220
JALIK N042.40.45.780 W113.27.30.350
JALIS N046.03.46.130 W096.29.26.680
JALKA N038.45.58.780 W105.42.36.610
JALKU N041.22.56.750 W096.04.09.010
JALMA N036.33.34.520 W112.11.59.850
JALON N047.20.11.420 W122.19.08.180
JALOT N034.03.23.810 W117.48.44.710
JALPA N048.10.44.720 W114.23.31.660
JALTI N045.38.27.430 W093.49.49.020
JALTU N037.01.36.170 W121.33.48.060
JALUL N045.12.17.270 W115.59.47.930
JALUN N044.57.15.200 W093.07.22.210
JALUP N044.55.30.310 W123.01.22.510
JAMAV N039.03.57.400 W123.04.28.190
JAMBI N034.20.42.580 W103.21.54.450
JAMDA N046.34.19.140 W120.31.51.030
JAMEE N033.18.34.540 W106.02.37.220
JAMEG N043.15.24.400 W123.21.15.950
JAMEP N038.53.34.650 W112.28.32.800
JAMEY N037.17.59.050 W097.23.36.060
JAMEZ N044.32.24.230 W093.09.08.720
JAMIA N035.54.25.010 W114.57.24.770
JAMID N042.33.59.210 W113.44.39.350
JAMIK N037.24.01.660 W101.37.33.350
JAMIL N033.26.27.190 W112.12.51.260
JAMIM N038.45.37.870 W121.34.44.950
JAMIN N037.51.16.990 W122.40.12.050
JAMIS N041.11.09.380 W093.28.31.550
JAMKI N039.33.52.760 W114.51.58.860
JAMMD N036.00.15.790 W115.19.46.720
JAMMN N040.02.36.380 W112.15.28.520
JAMMZ N034.35.28.800 W099.44.49.310
JAMON N033.12.28.130 W115.31.21.660
JAMOP N039.30.31.190 W114.48.06.530
JAMPO N035.18.22.160 W120.45.43.290
JAMRO N047.37.42.630 W122.26.11.440
JAMRU N042.45.59.150 W093.46.59.100
JAMSS N038.32.05.220 W106.49.17.390
JAMTU N048.06.09.260 W102.41.59.920
JAMVU N035.22.05.300 W113.48.19.920
JANAD N033.59.01.000 W115.36.05.000
JANAR N045.01.17.150 W092.17.53.820
JANAS N044.17.33.630 W124.05.14.250
JANAV N037.54.04.650 W116.50.06.150
JANAX N036.57.31.080 W099.10.42.550
JANEN N033.48.08.290 W116.24.29.580
JANEV N042.32.13.580 W093.42.28.900
JANIG N046.20.44.580 W116.46.06.440
JANIL N045.28.11.500 W092.22.58.880
JANIN N042.56.19.430 W112.58.46.000
JANIS N036.34.15.970 W120.38.24.900
JANNY N034.33.58.460 W118.21.22.390
JANOK N045.41.25.970 W111.03.36.680
JANON N047.35.25.250 W111.23.34.630
JANUK N036.42.42.420 W105.25.19.900
JANUR N041.25.43.790 W101.56.31.580
JANUT N040.48.14.100 W102.27.36.910
JANVA N041.16.58.860 W105.37.54.870
JANYY N037.33.24.540 W122.10.46.400
JAPAR N035.10.30.630 W118.44.47.400
JAPDI N039.50.05.700 W104.54.03.410
JAPDO N043.12.37.910 W095.11.46.970
JAPEE N040.17.20.340 W104.40.56.100
JAPER N045.39.52.230 W110.59.19.040
JAPES N038.52.12.550 W094.22.50.750
JAPET N039.58.58.920 W104.38.23.490
JAPEX N040.05.02.070 W104.39.26.910
JAPGU N044.04.21.420 W102.59.30.960
JAPID N040.28.35.340 W096.12.31.210
JAPKA N043.04.08.710 W094.36.07.880
JAPNU N045.22.38.210 W094.13.47.010
JAPOD N031.45.10.280 W106.24.17.870
JAPRU N038.08.51.810 W098.57.39.970
JAPSA N043.41.49.440 W092.56.19.020
JAPSO N037.42.23.510 W122.08.53.900
JAPTA N040.56.22.310 W099.50.49.820
JAPTI N034.06.43.190 W117.15.04.890
JAPUV N044.11.27.590 W121.00.52.540
JAPUX N034.28.49.780 W100.01.06.180
JARBI N043.23.25.930 W114.12.45.280
JARDO N033.32.28.850 W117.16.01.210
JARGU N039.24.52.940 W106.57.38.050
JARIK N036.09.32.750 W115.45.39.400
JARIS N034.34.07.380 W118.15.03.410
JARLA N039.29.18.230 W123.20.13.720
JARMO N032.55.16.720 W116.54.17.650
JARNS N048.26.14.730 W097.21.57.130
JARNU N038.47.50.490 W121.35.58.480
JAROD N033.09.53.100 W111.51.57.210
JAROZ N033.34.33.920 W114.27.46.370
JARPA N035.42.22.460 W109.47.19.990
JARPI N034.27.30.280 W103.14.46.750
JARUT N037.39.32.040 W118.28.05.560
JARUV N046.43.30.370 W117.11.05.660
JARVE N040.22.32.520 W106.45.34.560
JARZO N034.30.30.270 W118.12.25.340
JASAT N037.38.08.250 W118.30.15.400
JASER N033.59.54.460 W117.41.03.040
JASIG N038.02.55.920 W098.03.59.000
JASIS N039.30.03.440 W114.47.16.280
JASKA N035.50.54.070 W097.19.29.430
JASKI N043.14.42.490 W112.19.40.130
JASMI N035.34.48.210 W101.21.55.290
JASNI N045.56.42.210 W093.08.18.090
JASPS N038.02.44.380 W097.16.35.000
JASRU N046.41.31.400 W105.46.33.350
JASSE N036.04.15.530 W111.48.45.810
JASTI N044.01.24.000 W101.26.26.000
JASUB N034.57.29.070 W099.31.41.110
JASUD N043.07.54.800 W092.59.32.430
JASUR N034.18.53.430 W109.46.16.470
JASVA N042.47.28.490 W095.09.05.640
JATEB N042.39.08.470 W106.33.13.790
JATEM N037.01.35.500 W120.51.30.740
JATID N035.25.44.490 W112.07.34.970
JATIN N041.10.09.700 W095.45.39.330
JATIP N037.27.45.630 W122.10.32.890
JATKA N036.50.33.880 W111.25.48.000
JATLA N034.18.41.840 W103.14.39.380
JATLI N048.35.16.250 W116.23.39.000
JATLU N035.38.02.730 W119.21.40.680
JATMI N033.48.11.170 W102.29.58.620
JATOL N038.44.55.320 W104.37.14.090
JATPI N037.24.54.840 W121.53.50.350
JATPO N038.09.11.730 W122.27.03.390
JATRI N036.18.46.800 W098.17.15.070
JATTS N043.16.00.480 W112.54.27.280
JATTU N034.48.58.640 W099.06.54.090
JATTY N043.54.35.620 W094.29.42.130
JAURN N040.28.48.770 W111.57.18.840
JAVAN N037.06.46.930 W095.28.07.830
JAVEP N044.26.00.320 W094.52.33.990
JAVOB N039.10.17.190 W099.43.47.300
JAVPU N035.47.45.960 W112.04.45.230
JAVSI N034.01.42.600 W118.16.39.000
JAVTO N048.23.56.210 W122.23.41.420
JAVXE N035.09.57.470 W097.35.19.470
JAWBN N048.01.54.260 W122.50.35.660
JAWED N040.01.59.430 W094.01.44.010
JAWSY N034.45.10.840 W113.58.07.100
JAWXY N034.47.43.360 W112.17.34.670
JAXAG N045.37.43.520 W122.33.02.520
JAXAR N036.23.52.210 W105.47.00.290
JAXER N038.24.50.060 W094.26.14.170
JAXEV N034.02.04.940 W117.33.57.950
JAXIG N031.33.13.260 W109.36.17.320
JAXIT N033.49.54.950 W116.27.13.520
JAXIV N035.08.21.870 W101.57.41.140
JAXOD N046.29.41.550 W105.58.47.610
JAXOM N041.42.30.250 W103.49.27.810
JAXSU N037.52.06.630 W097.19.21.140
JAXWU N041.13.27.570 W093.40.46.960
JAYBA N039.17.57.690 W094.49.44.900
JAYEF N040.36.32.450 W124.13.36.960
JAYKE N047.23.43.490 W111.09.15.920
JAYKK N038.03.23.510 W122.15.42.550
JAYNE N039.41.44.460 W104.36.32.260
JAYSN N036.34.25.480 W116.02.26.620
JAYUK N037.55.13.490 W097.41.52.830
JAYZU N041.39.02.680 W098.00.16.430
JAZDE N033.45.46.900 W101.50.31.950
JAZZE N039.22.16.900 W094.40.56.540
JBBDT N049.00.00.000 W122.34.22.300
JBEAZ N035.18.12.520 W101.45.02.110
